id;name;address;address_details;city;country;phone;district;opening_date;active
1;protocol Pound;Guinea-Bissau;sensor black;San Tan Valley;Germany;1-902-230-3360 x01499;compressing Research;2021-05-19;true
2;Salad systems;Frozen Facilitator;open-source Extension payment;South Gino;French Southern Territories;548-916-2196 x289;Bike;2021-05-19;true
3;sensor;Customer;leading Rubber;Castro Valley;United States of America;1-478-435-0039;killer disintermediate;2021-05-19;true
4;Home Azerbaijan;South Quality invoice;innovate;Pfannerstillstad;Yemen;586-868-6677 x48938;Plastic Iraqi Internal;2021-05-19;true
5;functionalities Vietnam driver;Fresh;Salad redundant;Maggiefort;Togo;995-241-9094 x0578;Djibouti scale;2021-05-19;true
6;New Legacy Loan;supply-chains port;Bedfordshire;Simonisfort;Brazil;359-593-5979 x5977;withdrawal;2021-05-18;true
7;AGP Burgs calculating;client-driven structure;Fully-configurable;Jakubowskiland;Timor-Leste;366.730.2983 x33167;bifurcated Networked;2021-05-18;false
8;Extension intranet;quantifying Graphical Front-line;Russian;Michellechester;Nicaragua;288-210-1191;Cambridgeshire quantify Springs;2021-05-19;true
9;Borders transmitting bus;Korea Borders Liechtenstein;Wooden;North Krisborough;Faroe Islands;605-346-8267 x52136;Operative Assistant;2021-05-19;true
10;synthesize;Passage Practical Vision-oriented;array;Rockville;Western Sahara;774.595.5750 x1060;parsing Idaho Nevada;2021-05-18;true
