id;name;address;address_details;city;country;phone;district;opening_date;active;city_id;district_id
1;protocol Pound;Guinea-Bissau;sensor black;San Tan Valley;Germany;1-902-230-3360 x01499;compressing Research;2021-05-19;true;64782;15047
2;system maximized Consultant;software Djibouti olive;Diverse envisioneer technologies;Clearwater;Nigeria;396-389-3127;Account;2021-05-18;false;19825;91223
3;dynamic Missouri;Chief Research;Product Argentina utilisation;West Zion;Faroe Islands;1-547-565-2505;South Quality invoice;2021-05-19;false;73312;75327
4;Rupee navigating Loan;Account system Director;Plastic Iraqi Internal;New Yazminview;Turkey;1-695-702-2088;Money Central e-business;2021-05-18;true;89250;62018
5;Intranet Bedfordshire Unbranded;Leone;Djibouti scale;Perryhaven;Palestinian Territory;(597) 769-6444 x0729;Bedfordshire;2021-05-18;true;83027;12148
6;Optimized Cambridgeshire;Mobility Uzbekistan;Profound Tasty circuit;La Habra;Antigua and Barbuda;873-521-7388 x1233;orchestrate Manager Singapore;2021-05-19;false;91028;81783
7;facilitate Loan;Soft;User-friendly withdrawal;Farmington Hills;Mali;1-986-434-3235 x266;Oklahoma;2021-05-18;false;2065;86394
8;Games Mouse Salad;Spring heuristic Guernsey;Borders transmitting bus;McKinney;Republic of Korea;(559) 659-2114 x1153;connecting;2021-05-18;false;40955;60644
9;Phased Money whiteboard;Montserrat;eco-centric radical impactful;Emanuelton;Japan;402.920.7358;Consultant connect Infrastructure;2021-05-18;true;4681;14849
10;Kwanza;Liaison Intuitive Peru;edge optimize hacking;West Estrella;Russian Federation;908.371.8245 x52899;XML Configuration;2021-05-18;true;66407;93682
